Year,Semester,CouseCode,CourseName,TotalStudents,StudentsTaken,Rate
1995,1,ECE20016,자바프로그래밍언어,28,1,3.6%
1996,1,ECE20016,자바프로그래밍언어,61,12,19.7%
1997,1,ECE20016,자바프로그래밍언어,58,8,13.8%
1998,1,ECE20016,자바프로그래밍언어,36,13,36.1%
1998,3,ECE20016,자바프로그래밍언어,13,1,7.7%
2000,1,ECE20016,자바프로그래밍언어,45,13,28.9%
2001,1,ECE20016,자바프로그래밍언어,73,5,6.8%
2002,1,ECE20016,자바프로그래밍언어,115,9,7.8%
2003,1,ECE20016,자바프로그래밍언어,125,15,12.0%
2004,1,ECE20016,자바프로그래밍언어,96,30,31.3%
2005,1,ECE20016,자바프로그래밍언어,82,11,13.4%
2006,1,ECE20016,자바프로그래밍언어,92,4,4.3%
2006,2,ECE20016,자바프로그래밍언어,95,7,7.4%
2007,1,ECE20016,자바프로그래밍언어,112,12,10.7%
2008,1,ECE20016,자바프로그래밍언어,88,4,4.5%
2009,1,ECE20016,자바프로그래밍언어,54,1,1.9%
2009,2,ECE20016,자바프로그래밍언어,42,2,4.8%
